('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         994897 function calls (970974 primitive calls) in 2.566 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      321    0.001    0.000    0.004    0.000 frame.py:105(parse_frame_header)
      313    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      312    0.001    0.000    0.001    0.000 contextlib.py:108(__init__)
      312    0.000    0.000    0.001    0.000 contextlib.py:136(__enter__)
      312    0.000    0.000    0.001    0.000 contextlib.py:303(helper)
      311    0.000    0.000    0.001    0.000 contextlib.py:145(__exit__)
      309    0.000    0.000    0.002    0.000 frame.py:203(__init__)
      306    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      304    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      299    0.001    0.000    1.633    0.005 ssl.py:1278(recv)
      299    1.631    0.005    1.631    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      299    0.002    0.000    1.637    0.005 sync.py:124(read)
      299    0.001    0.000    0.001    0.000 frame_buffer.py:39(add_data)
      299    0.000    0.000    0.000    0.000 frame_buffer.py:116(__iter__)
      299    0.001    0.000    1.680    0.006 http2.py:342(_receive_events)
      299    0.001    0.000    0.036    0.000 connection.py:1495(receive_data)
      299    0.000    0.000    1.632    0.005 ssl.py:1129(read)
      299    0.001    0.000    1.674    0.006 http2.py:433(_read_incoming_data)
      296    0.000    0.000    0.000    0.000 enum.py:762(__delattr__)
    294/8    0.001    0.000    0.279    0.035 <frozen importlib._bootstrap>:1349(_find_and_load)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      293    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
    293/7    0.001    0.000    0.279    0.040 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      291    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      291    0.001    0.000    0.002    0.000 frame.py:296(__init__)
      290    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      290    0.001    0.000    0.002    0.000 enum.py:354(__setitem__)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      289    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      289    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      286    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      285    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      285    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      285    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      283    0.000    0.000    0.000    0.000 enum.py:1310(__hash__)
      281    0.001    0.000    0.005    0.000 typing.py:1423(__init__)
      279    0.000    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
    275/1    0.007    0.000    2.566    2.566 {built-in method builtins.exec}
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
  265/262    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    265/7    0.001    0.000    0.278    0.040 <frozen importlib._bootstrap>:911(_load_unlocked)
      265    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      261    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      257    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  237/231    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      236    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
    236/7    0.000    0.000    0.278    0.040 <frozen importlib._bootstrap_external>:1020(exec_module)
      236    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      236    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
      236    0.008    0.000    0.008    0.000 {built-in method _io.open_code}
      236    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      236    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      236    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      236    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      231    0.000    0.000    0.001    0.000 dataclasses.py:709(_is_type)
  225/156    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
  220/178    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      209    0.000    0.000    0.001    0.000 typing.py:1639(<genexpr>)
      208    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      202    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
      202    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
      202    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      202    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      199    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      199    0.000    0.000    0.045    0.000 _compiler.py:576(_code)
      199    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      199    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      199    0.001    0.000    0.110    0.001 _compiler.py:743(compile)
      199    0.000    0.000    0.064    0.000 _parser.py:970(parse)
      199    0.001    0.000    0.012    0.000 _compiler.py:514(_compile_info)
      199    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      198    0.000    0.000    0.001    0.000 enum.py:1605(__and__)
      194    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
      193    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      190    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      190    0.000    0.000    0.006    0.000 _parser.py:97(closegroup)
      189    0.000    0.000    0.001    0.000 enum.py:1057(_add_member_)
      187    0.000    0.000    0.000    0.000 enum.py:432(<genexpr>)
      182    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
      182    0.000    0.000    0.000    0.000 enum.py:248(__init__)
      182    0.001    0.000    0.002    0.000 enum.py:251(__set_name__)
      181    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      165    0.000    0.000    0.000    0.000 enum.py:1335(value)
      165    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      162    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_classvar)
      162    0.000    0.000    0.000    0.000 dataclasses.py:705(_is_kw_only)
      162    0.000    0.000    0.000    0.000 dataclasses.py:699(_is_initvar)
      158    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      158    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
      157    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      144    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
