('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         943565 function calls (919115 primitive calls) in 7.878 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 ssl_.py:225(create_urllib3_context)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      279    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       24    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       49    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
      912    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     1058    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
     8459    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        6    0.000    0.000    0.001    0.000 cookiejar.py:1599(make_cookies)
        8    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
    14586    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       74    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
     1018    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
        8    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       10    0.000    0.000    0.001    0.000 structures.py:40(__init__)
        1    0.000    0.000    0.001    0.001 core.py:21(where)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        2    0.000    0.000    0.001    0.001 core.py:1(<module>)
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:979(update)
     8081    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
       52    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        1    0.000    0.000    0.001    0.001 models.py:351(prepare)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sessions.py:302(rebuild_proxies)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
    13086    0.001    0.000    0.001    0.000 typing.py:2371(cast)
        1    0.000    0.000    0.001    0.001 utils.py:854(resolve_proxies)
        1    0.000    0.000    0.001    0.001 _common.py:33(wrapper)
        1    0.000    0.000    0.001    0.001 _common.py:51(files)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      843    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:107(from_package)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     2707    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
       24    0.000    0.000    0.001    0.000 typing.py:806(Optional)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
      312    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      273    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
     7453    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1376    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        3    0.000    0.000    0.001    0.000 request.py:2569(_proxy_bypass_macosx_sysconf)
      196    0.000    0.000    0.001    0.000 enum.py:1605(__and__)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       56    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
     9250    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        9    0.000    0.000    0.001    0.000 cookiejar.py:949(set_ok)
        1    0.000    0.000    0.001    0.001 _abc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
     6234    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     4519    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
  169/166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      814    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
    71/40    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
      132    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
       32    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      950    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
    71/40    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
     4164    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      336    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       65    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:444(PercentStyle)
        2    0.000    0.000    0.001    0.000 connection.py:424(request)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     4164    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
       32    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       28    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
     2634    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       65    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      188    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
        2    0.000    0.000    0.001    0.000 readers.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.001    0.001 _adapters.py:149(_native)
     4460    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _adapters.py:144(_reader)
     4032    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1223(get_resource_reader)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
       59    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 sessions.py:390(__init__)
      102    0.000    0.000    0.001    0.000 enum.py:1594(__or__)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     1138    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     4624    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      317    0.000    0.000    0.001    0.000 enum.py:695(__call__)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
      136    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
     3748    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      979    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
        2    0.000    0.000    0.001    0.000 models.py:610(prepare_cookies)
     4163    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
        3    0.000    0.000    0.001    0.000 poolmanager.py:199(__init__)
        2    0.000    0.000    0.001    0.000 cookies.py:140(get_cookie_header)
       62    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
        2    0.000    0.000    0.001    0.000 feedparser.py:472(_parse_headers)
     3942    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
